desalojadas	de-sa-lo-j#a-das
potente	po-t#en-te
afeita	a-f#ei-ta
humildade	hu-mil-d#a-de
rebeldias	re-bel-d#i-as
ndio	nd#i-o
besta	b#es-ta
ordenações	or-de-na-ç#ões
estatuindo	es-ta-tu-#in-do
enjeitar	en-jei-t#ar
escravos	es-cr#a-vos
bestas	b#es-tas
acharem	a-ch#a-rem
doentes	do-#en-tes
mancos	m#an-cos
insistamos	in-sis-t#a-mos
incontroverso	in-con-tro-v#er-so
importações	im-por-ta-ç#ões
acumulavam	a-cu-mu-l#a-vam
tarja	t#ar-ja
debruava	de-bru-#a-va
penetrava	pe-ne-tr#a-va
quilombola	qui-lom-b#o-la
temeroso	te-me-r#o-so
agrupando-se	a-gru-p#an-do§-se
mocambos	mo-c#am-bos
mocambeiros	mo-cam-b#ei-ros
distava	dis-t#a-va
uberdade	u-ber-d#a-de
fixara	fi-x#a-ra
simultaneamente	si-mul-ta-ne-a-m#en-te
libertando	li-ber-t#an-do
extensiva	ex-ten-s#i-va
cana	c#a-na
importada	im-por-t#a-da
Madeira	ma-d#ei-ra
determinara	de-ter-mi-n#a-ra
olvido	ol-v#i-do
holandesa	ho-lan-d#e-sa
exploração	ex-plo-ra-ç#ão
progrediu	pro-gre-d#iu
agrilhoado	a-gri-lho-#a-do
fazia	fa-z#i-a
campeava	cam-pe-#a-va
inapto	i-n#ap-to
trabalho	tra-b#a-lho
tenacidade	te-na-ci-d#a-de
escravidão	es-cra-vi-d#ão
constituindo-se	cons-ti-tu-#in-do§-se
derivativo	de-ri-va-t#i-vo
egoísmo	e-go-#ís-mo
desembaraçados	de-sem-ba-ra-ç#a-dos
catequese	ca-te-qu#e-se
ultimando	ul-ti-m#an-do
rotas	r#o-tas
atrevidas	a-tre-v#i-das
combatividade	com-ba-ti-vi-d#a-de
Domingos	do-m#in-gos
Sertão	ser-t#ão
cerravam	ce-rr#a-vam
aventureira	a-ven-tu-r#ei-ra
atraídos	a-tra-#í-dos
lucros	l#u-cros
abertas	a-b#er-tas
latifúndios	la-ti-f#ún-dios
estabeleceu	es-ta-be-le-c#eu
realizados	re-a-li-z#a-dos
admitido	ad-mi-t#i-do
ambos	#am-bos
denominador	de-no-mi-na-d#or
resultado	re-sul-t#a-do
demonstração	de-mons-tra-ç#ão
positiva	po-si-t#i-va
originalidade	o-ri-gi-na-li-d#a-de
Esbocemo-lo	es-bo-c#e-mo§-lo
delongarmos	de-lon-g#ar-mos
afastemo-nos	a-fas-t#e-mo§-nos
desenrolou	de-sen-ro-l#ou
conforme	con-f#or-me
historiador	his-to-ri-a-d#or
relance	re-l#an-ce
Ampla	#am-pla
colhe	c#o-lhe
Estreita-se	es-tr#ei-ta§-se
constrita	cons-tr#i-ta
desnivelam	des-ni-v#e-lam
torcendo-a	tor-c#en-do§-a
torna-se	t#or-na§-se
pobre	p#o-bre
centenares	cen-te-n#a-res
corta	c#or-ta
diagrama	di-a-gr#a-ma
Balanceia	ba-lan-c#ei-a
colonizadora	co-lo-ni-za-d#o-ra
tornou	tor-n#ou
descimento	des-ci-m#en-to
econômica	e-co-n#ô-mi-ca
colônia	co-l#ô-nia
Bateram-lhe	ba-t#e-ram§-lhe
jesuíta	je-su-#í-ta
documentos	do-cu-m#en-tos
reconstrução	re-cons-tru-ç#ão
olvidado	ol-vi-d#a-do
avulte	a-v#ul-te
Bravo	br#a-vo
resignado	re-sig-n#a-do
atributo	a-tri-b#u-to
faltou	fal-t#ou
fixação	fi-xa-ç#ão
destacados	des-ta-c#a-dos
confundidos	con-fun-d#i-dos
buscando	bus-c#an-do
escravo	es-cr#a-vo
desvendavam	des-ven-d#a-vam
desmedidas	des-me-d#i-das
povoavam	po-vo-#a-vam
deixavam	d#ei-xa-vam
sucessão	su-ce-ss#ão
acordo	a-c#or-do
praticabilidade	pra-ti-ca-bi-li-d#a-de
empresas	em-pr#e-sas
planeadas	pla-ne-#a-das
desígnios	de-s#íg-nios
repontava	re-pon-t#a-va
incidente	in-ci-d#en-te
obrigado	o-bri-g#a-do
conseqüência	con-se-qu#ên-cia
cuidava	c#ui-da-va
expedição	ex-pe-di-ç#ão
Glimmer	glim-m#er
visão	vi-s#ão
enganadora	en-ga-na-d#o-ra
Esmeraldas	es-me-r#al-das
atraíra	a-tra-#í-ra
malogros	ma-l#o-gros
Bruzzo	br#u-zzo
Spinosa	spi-n#o-sa
Adorno	a-d#or-no
Carvalho	car-v#a-lho
desaparecendo	de-sa-pa-re-c#en-do
pais	p#ais
encantado	en-can-t#a-do
idealizara	i-de-a-li-z#a-ra
imaginação	i-ma-gi-na-ç#ão
romântica	ro-m#ân-ti-ca
lendas	l#en-das
sombrias	som-br#i-as
caçadores	ca-ça-d#o-res
figura	fi-g#u-ra
heróica	he-r#ói-ca
Raposo	ra-p#o-so
apagado	a-pa-g#a-do
Sabará-buçu	Sabará§-bu-ç#u
inatingíveis	i-na-tin-g#í-veis
renovadas	re-no-v#a-das
indecisas	in-de-c#i-sas
Pais	p#ais
Leme	l#e-me
avivou	a-vi-v#ou
apagamento	a-pa-ga-m#en-to
alentadas	a-len-t#a-das
oitavas	#oi-ta-vas
Arzão	ar-z#ão
Bartolomeu	bar-to-lo-m#eu
Itaberaba	i-ta-be-r#a-ba
Miguel	mi-gu#el
Ribeirão	ri-bei-r#ão
Carmo	c#ar-mo
volvessem	vol-v#e-ssem
anelo	a-n#e-lo
distrito	dis-tr#i-to
espraiassem	es-pr#ai-a-ssem
aparentemente	a-pa-ren-te-m#en-te
observam	ob-s#er-vam
espantoso	es-pan-t#o-so
surgira	sur-g#i-ra
interfere	in-ter-f#e-re
somente	so-m#en-te
Formara-se	for-m#a-ra§-se
obscuramente	obs-cu-ra-m#en-te
Determinaram-no	de-ter-mi-n#a-ram§-no
começo	co-m#e-ço
brilho	br#i-lho
ter-se	t#er§-se
prolongado	pro-lon-g#a-do
Lancastro	lan-c#as-tro
Macaúbas	ma-ca-#ú-bas
Paramirim	pa-ra-mi-r#im
Vedado	ve-d#a-do
diretos	di-r#e-tos
curtos	c#ur-tos
interrompidos	in-te-rrom-p#i-dos
paredões	pa-re-d#ões
trancados	tran-c#a-dos
fazia-se	fa-z#i-a§-se
Abrindo	a-br#in-do
foz	f#oz
unificador	u-ni-fi-ca-d#or
união	u-ni-#ão
conheciam	co-nhe-c#i-am
exércitos	e-x#ér-ci-tos
tabajaras	ta-ba-j#a-ras
aliados	a-li-#a-dos
origens	o-r#i-gens
baianos	bai-#a-nos
d'Ávila	dá-#vi-la
pernambucanos	per-nam-bu-c#a-nos
Manuel	ma-nu-#el
Nunes	n#u-nes
Viana	vi-#a-na
partiu	par-t#iu
fazenda	fa-z#en-da
Escuro	es-c#u-ro
Carinhanha	ca-ri-nh#a-nha
comandar	co-man-d#ar
emboabas	em-bo-#a-bas
Mortes	m#or-tes
atingirem	a-tin-g#i-rem
voltavam	vol-t#a-vam
acessível	a-ce-ss#í-vel
compensava-lhes	compensava§-lhes
desfeita	des-f#ei-ta
cobiçadas	co-bi-ç#a-das
atenuante	a-te-nu-#an-te
complexa	com-pl#e-xa
trançado	tran-ç#a-do
mimoso	mi-m#o-so
desafogadas	de-sa-fo-g#a-das
salteadamente	sal-te-a-da-m#en-te
ajustam	a-j#us-tam
simétricos	si-m#é-tri-cos
ligando-a	li-g#an-do§-a
laços	l#a-ços
atraindo-os	a-tra-#in-do§-os
entrelaçando-os	en-tre-la-ç#an-do-§os
esboçou	es-bo-ç#ou
dominadora	do-mi-na-d#o-ra
faltava	fal-t#a-va
recamado	re-ca-m#a-do
pastagens	pas-t#a-gens
sal	s#al
gratuito	gra-t#ui-to
salobras	sa-l#o-bras
barreiros	ba-rr#ei-ros
Constituiu-se	cons-ti-tu#i-u§-se
favorecida	fa-vo-re-c#i-da
lavras	l#a-vras
baianas	bai-#a-nas
Povoara-se	po-vo-#a-ra§-se
crescera	cres-c#e-ra
desadorada	de-sa-do-r#a-da
cronistas	cro-n#is-tas
esquecida	es-que-c#i-da
vice-reis	vice§-r#eis
produzia	pro-du-z#i-a
impostos	im-p#os-tos
rendas	r#en-das
interessassem	in-te-re-ss#a-ssem
coroa	co-r#o-a
Refletia	re-fle-t#i-a
contraposta	con-tra-p#os-ta
turbulência	tur-bu-l#ên-cia
aventuras	a-ven-t#u-ras
contingentes	con-tin-g#en-tes
adores	a-d#o-res
criadores	cri-a-d#o-res
formaram	for-m#a-ram
vinha	v#i-nha
constituída	cons-ti-tu-#í-da
entusiasta	en-tu-si-#as-ta
enérgica	e-n#ér-gi-ca
Pedro	p#e-dro
Taques	t#a-ques
procuraram	pro-cu-r#a-ram
rincões	rin-c#ões
longínquos	lon-g#ín-quos
aceitando	a-c#ei-tan-do
historiógrafo	his-to-ri-#ó-gra-fo
perspicaz	pers-pi-c#az
aliás	a-li-#ás
tornou-se	tor-n#ou§-se
descobrir	des-co-br#ir
visse	v#i-sse
evidentes	e-vi-d#en-tes
predecessores	pre-de-ce-ss#o-res
anônimos	a-n#ô-ni-mos
pioneiros	pi-o-n#ei-ros
chegado	che-g#a-do
transmontando	trans-mon-t#an-do
Paran	pa-r#an
reabrir	re-a-br#ir
agitadas	a-gi-t#a-das
ruidosas	r#ui-do-sas
imigrantes	i-mi-gr#an-tes
rolavam	ro-l#a-vam
orientais	o-ri-en-t#ais
talvegue	tal-v#e-gue
precedendo	pre-ce-d#en-do
Caeté	ca-e-t#é
sulcando-as	sul-c#an-do§-as
contrária	con-tr#á-ria
promanado	pro-ma-n#a-do
tornara	tor-n#a-ra
formara	for-m#a-ra
estrênuos	es-tr#ê-nuos
nascido	nas-c#i-do
demasiamos	de-ma-si-#a-mos
arrojada	a-rro-j#a-da
admitindo	ad-mi-t#in-do
extraordinário	ex-tra-or-di-n#á-rio
surgindo	sur-g#in-do
decaindo	de-ca-#in-do
degeneração	de-ge-ne-ra-ç#ão
declinar	de-cli-n#ar
deu	d#eu
renascesse	re-nas-c#e-sse
conservasse	con-ser-v#a-sse
prolongando	pro-lon-g#an-do
varonil	va-ro-n#il
avós	a-v#ós
ficaram	fi-c#a-ram
divorciados	di-vor-ci-#a-dos
murados	mu-r#a-dos
tolhidos	to-lh#i-dos
acredita	a-cre-d#i-ta
atraía-os	a-tra-#í-a-§os
guardava-os	guar-d#a-va§-os
impróprias	im-pr#ó-prias
dispersão	dis-per-s#ão
facilitavam	fa-ci-li-t#a-vam
Ligavam-nos	li-g#a-vam§-nos
Estabelecendo	es-ta-be-le-c#en-do
contigüidade	con-ti-gui-d#a-de
nortistas	nor-t#is-tas
lutavam	lu-t#a-vam
pátria	p#á-tria
alargavam	a-lar-g#a-vam
abastecendo-os	a-bas-te-c#en-do§-os
fartas	f#ar-tas
subiam	su-b#i-am
desciam	des-c#i-am
incompreendida	in-com-pre-en-d#i-da
olvidada	ol-vi-d#a-da
cerne	c#er-ne
criaram	cri-#a-ram
suplantado	su-plan-t#a-do
dominarem	do-mi-n#a-rem
escravizaram-no	es-cra-vi-z#a-ram§-no
captaram-no	cap-t#a-ram§-no
aproveitando-lhe	a-pro-v#ei-tan-do§-lhe
abraçavam	a-bra-ç#a-vam
subseqüentemente	sub-se-quen-te-m#en-te
despontou	des-pon-t#ou
curibocas	cu-ri-b#o-cas
puros	p#u-ros
mescla	m#es-cla
denunciada	de-nun-ci-#a-da
Nasciam	nas-c#i-am
amplexo	am-pl#e-xo
vitoriosos	vi-to-ri-#o-sos
Criaram-se	cri-#a-ram§-se
ampliando	am-pli-#an-do
escola	es-c#o-la
forca	f#or-ca
coragem	co-r#a-gem
impune	im-p#u-ne
jaguar	ja-gu#ar
vagueia	va-gu#ei-a
ema	#e-ma
velocíssima	ve-lo-c#í-ssi-ma
despedaçados	des-pe-da-ç#a-dos
mineração	mi-ne-ra-ç#ão
deram	d#e-ram
esse	#e-sse
faina	f#ai-na
rodeios	ro-d#ei-os
traçar-lhes	tra-ç#ar-§lhes
Caldeadas	cal-de-#a-das
impulsividade	im-pul-si-vi-d#a-de
ulteriormente	ul-te-ri-or-m#en-te
cultivo	cul-t#i-vo
propiciou	pro-pi-ci-#ou
insulamento	in-su-la-m#en-to
conservação	con-ser-va-ç#ão
avoengos	a-vo-#en-gos
ligeiramente	li-gei-ra-m#en-te
vestes	v#es-tes
aferro	a-f#e-rro
sentimento	sen-ti-m#en-to
religioso	re-li-gi-#o-so
levado	le-v#a-do
fanatismo	fa-na-t#is-mo
honra	h#on-ra
folclore	fol-cl#o-re
Raça	r#a-ça
definidos	de-fi-n#i-dos
imutáveis	i-mu-t#á-veis
crises	cr#i-ses
roupa	r#ou-pa
armadura	ar-ma-d#u-ra
flexível	fle-x#í-vel
inegavelmente	i-ne-ga-vel-m#en-te
importam	im-p#or-tam
Expandindo-se	ex-pan-d#in-do§-se
expresso	ex-pr#e-sso
fundações	fun-da-ç#ões
erigiu	e-ri-g#iu
Todos	t#o-dos
vilas	v#i-las
animam	a-n#i-mam
levantaram	le-van-t#a-ram
considera	con-si-d#e-ra
assiste	a-ss#is-te
Deixa	d#ei-xa
alcandoradas	al-can-do-r#a-das
arenas	a-r#e-nas
feitas	f#ei-tas
libérrima	li-b#é-rri-ma
apetecidas	a-pe-te-c#i-das
amaninhadas	a-ma-ni-nh#a-das
eleitas	e-l#ei-tas
penosos	pe-n#o-sos
indicam	in-d#i-cam
ligeiros	li-g#ei-ros
confrontos	con-fr#on-tos
demarcamos	de-mar-c#a-mos
totalmente	to-tal-m#en-te
arrebatadas	a-rre-ba-t#a-das
padres	p#a-dres
política	po-l#í-ti-ca
existia	e-xis-t#i-a
cinco	c#in-co
Tróia	tr#ói-a
abusivas	a-bu-s#i-vas
concessões	con-ce-ss#ões
sesmarias	ses-ma-r#i-as
subordinavam	su-bor-di-n#a-vam
posse	p#o-sse
Casa	c#a-sa
Torre	t#o-rre
acham-se	#a-cham§-se
antiqüíssimos	an-ti-qu#í-ssi-mos
Rodelas	ro-d#e-las
Cabrobó	ca-bro-b#ó
caminhar	ca-mi-nh#ar
continuaria	con-ti-nu-a-r#i-a
extraordinária	ex-tra-or-di-n#á-ria
retrata	re-tr#a-ta
traçarem	tra-ç#a-rem
eloqüentes	e-lo-qu#en-tes
consideramos	con-si-de-r#a-mos
Dizem	d#i-zem
iniludível	i-ni-lu-d#í-vel
agitava	a-gi-t#a-va
azáfama	a-z#á-fa-ma
fixava	fi-x#a-va
tornariam	tor-na-r#i-am
calculada	cal-cu-l#a-da
abnegação	ab-ne-ga-ç#ão
capuchinhos	ca-pu-ch#i-nhos
franciscanos	fran-cis-c#a-nos
incorporavam	in-cor-po-r#a-vam
irromperam	i-rrom-p#e-ram
Pambu	pam-b#u
Jacobina	ja-co-b#i-na
surpresos	sur-pr#e-sos
paróquias	pa-r#ó-quias
centralizavam	cen-tra-li-z#a-vam
montante	mon-t#an-te
incorporara	in-cor-po-r#a-ra
capuchinho	ca-pu-ch#i-nho
dominava-o	do-mi-n#a-va§-o
desfazendo	des-fa-z#en-do
dissenções	di-ssen-ç#ões
tribais	tri-b#ais
imperando	im-pe-r#an-do
humílimo	hu-m#í-li-mo
morubixabas	mo-ru-bi-x#a-bas
mansos	m#an-sos
preponderava	pre-pon-de-r#a-va
velhíssima	ve-lh#í-ssi-ma
Sa	s#a
julgado	jul-g#a-do
admitir-se	ad-mi-t#ir§-se
mesclava	mes-cl#a-va
canhembora	ca-nhem-b#o-ra
Incomparavelmente	in-com-pa-ra-vel-m#en-te
animado	a-ni-m#a-do
lugarejo	lu-ga-r#e-jo
desviava	des-vi-#a-va
atenção	a-ten-ç#ão
João	jo-#ão
governador	go-ver-na-d#or
principalmente	prin-ci-pal-m#en-te
exacerbavam	e-xa-cer-b#a-vam
rivalidades	ri-va-li-d#a-des
chefes	ch#e-fes
munidos	mu-n#i-dos
patentes	pa-t#en-tes
perfeitamente	per-f#ei-ta-men-te
legais	le-g#ais
capitães	ca-pi-t#ães
disciplinou	dis-ci-pli-n#ou
tornando-se	tor-n#an-do§-se
eficaz	e-fi-c#az
ameaças	a-me-#a-ças
Harmonizaram-se	har-mo-ni-z#a-ram§-se
captados	cap-t#a-dos
Igreja	i-gr#e-ja
vigário	vi-g#á-rio
catecúmenos	ca-te-c#ú-me-nos
Perto	p#er-to
vetusta	ve-t#us-ta
companhia	com-pa-nh#i-a
regimento	re-gi-m#en-to
Mais	m#ais
avultavam	a-vul-t#a-vam
Natuba	na-t#u-ba
aldeia	al-d#ei-a
ereta	e-r#e-ta
elevar-se	e-le-v#ar§-se
paróquia	pa-r#ó-quia
originou	o-ri-gi-n#ou
controvérsia	con-tro-v#ér-sia
rico	r#i-co
sesmeiro	ses-m#ei-ro
precitado	pre-ci-t#a-do
fundada	fun-d#a-da
começar	co-me-ç#ar
vanguarda	van-gu#ar-da
centralizou	cen-tra-li-z#ou
Sobrado	so-br#a-do
tido	t#i-do
Quase	qu#a-se
rústico	r#ús-ti-co
landlord	lan-dlor
aplicou	a-pli-c#ou
Ostentando	os-ten-t#an-do
feudalismo	f#eu-da-lis-mo
achamboado	a-cham-bo-#a-do
transmudar	trans-mu-d#ar
vassalos	va-ss#a-los
foreiros	fo-r#ei-ros
humildes	hu-m#il-des
servos	s#er-vos
havendo	ha-v#en-do
conseguido	con-se-gu#i-do
riqueza	ri-qu#e-za
poderio	po-de-r#i-o
aliava-se	a-li-#a-va§-se
integradora	in-te-gra-d#o-ra
secundava	se-cun-d#a-va
vacilar	va-ci-l#ar
Firmara-se	fir-m#a-ra§-se
aldeamento	al-de-a-m#en-to
reduto	re-d#u-to
incursões	in-cur-s#ões
soltos	s#ol-tos
indomáveis	in-do-m#á-veis
fundou	fun-d#ou
catequizado	ca-te-qui-z#a-do
Barra	b#a-rra
depredações	de-pre-da-ç#ões
Acaroazes	a-ca-ro-#a-zes
Mocoazes	mo-co-#a-zes
sucederam-se	su-ce-d#e-ram§-se
Nossa	n#o-ssa
Senhora	se-nh#o-ra
Pilar	pi-l#ar
Sorobabé	so-ro-ba-b#é
Aracapá	a-ra-ca-p#á
Pontal	pon-t#al
Pajeú	pa-je-#ú
ligados	li-g#a-dos
sobressaía	so-bre-ssa-#í-a
amalgamando-se	a-mal-ga-m#an-do§-se
avolumassem	a-vo-lu-m#a-ssem
dirimir	di-ri-m#ir
expulsão	ex-pul-s#ão
calcaram-se	cal-c#a-ram§-se
método	m#é-to-do
perseverantes	per-se-ve-r#an-tes
modelo	mo-d#e-lo
Apolônio	a-po-l#ô-nio
Todi	to-d#i
continuaram	con-ti-nu-#a-ram
perdida	per-d#i-da
permaneceu	per-ma-ne-c#eu
reproduzindo-se	re-pro-du-z#in-do§-se
insulada	in-su-l#a-da
isso	#i-sso
justificar	jus-ti-fi-c#ar
aparecimento	a-pa-re-ci-m#en-to
mestiço	mes-t#i-ço
definido	de-fi-n#i-do
complicavam	com-pli-c#a-vam
revolvido	re-vol-v#i-do
empeços	em-p#e-ços
irrompiam	i-rrom-p#i-am
rastro	r#as-tro
foragidos	fo-ra-g#i-dos
escapos	es-c#a-pos
persistiu	per-sis-t#iu
sofismemos	so-fis-m#e-mos
determinaram	de-ter-mi-n#a-ram
Destaquemo-las	des-ta-qu#e-mo§-las
durável	du-r#á-vel
tacanho	ta-c#a-nho
possuidores	po-ss#ui-do-res
herdeiros	her-d#ei-ros
Guedes	gu#e-des
Brito	br#i-to
ciosos	ci-#o-sos
dilatados	di-la-t#a-dos
custo	c#us-to
toleravam	to-le-r#a-vam
ereção	e-re-ç#ão
capelas	ca-p#e-las
controvérsias	con-tro-v#ér-sias
ganhassem	ga-nh#a-ssem
caíam	ca-#í-am
potentados	po-ten-t#a-dos
dificultavam	di-fi-cul-t#a-vam
concorrentes	con-co-rr#en-tes
tornavam	tor-n#a-vam
freguesias	fre-gue-s#i-as
recém-formadas	re-c#ém-§for-m#a-das
poderosos	po-de-r#o-sos
delas	d#e-las
promanava	pro-ma-n#a-va
desenvolveu	de-sen-vol-v#eu
afeiçoavam	a-f#ei-ço-a-vam
cafuzos	ca-f#u-zos
trigueiros	tri-gu#ei-ros
colonização	co-lo-ni-za-ç#ão
evolveram	e-vol-v#e-ram
adquirindo	ad-qui-r#in-do
régia	r#é-gia
fevereiro	fe-ve-r#ei-ro
supletiva	su-ple-t#i-va
isolamento	i-so-la-m#en-to
Proibira	pr#oi-bi-ra
cominando	co-mi-n#an-do
severas	se-v#e-ras
penas	p#e-nas
infratores	in-fra-t#o-res
comunicações	co-mu-ni-ca-ç#ões
relações	re-la-ç#ões
comerciais	co-mer-ci-#ais
toleradas	to-le-r#a-das
interditas	in-ter-d#i-tas
trocas	tr#o-cas
sobreleva-se	so-bre-l#e-va§-se
alonga	a-l#on-ga
Vimos-lhe	v#i-mos§-lhe
agressiva	a-gre-ss#i-va
impiedoso	im-pi-e-d#o-so
crespo	cr#es-po
esplendores	es-plen-d#o-res
araxá	a-ra-x#á
orlam	#or-lam
curvatura	cur-va-t#u-ra
ingrata	in-gr#a-ta
pora-pora	pora§-p#o-ra
eima	#ei-ma
remanescente	re-ma-nes-c#en-te
Borborema	bor-bo-r#e-ma
asilo	a-s#i-lo
Batidos	ba-t#i-dos
coligados	co-li-g#a-dos
refluindo	re-flu-#in-do
indômitos	in-d#ô-mi-tos
Cariris	ca-ri-r#is
encontraram	en-con-tr#a-ram
escalavrado	es-ca-la-vr#a-do
endurado	en-du-r#a-do
ossamenta	o-ssa-m#en-ta
rígida	r#í-gi-da
ressequido	re-sse-qu#i-do
esvurmando	es-vur-m#an-do
espinheirais	es-pi-nhei-r#ais
nenhuns	ne-nh#uns
indícios	in-d#í-cios
mostravam	mos-tr#a-vam
minérios	mi-n#é-rios
apetecidos	a-pe-te-c#i-dos
arremessos	a-rre-m#e-ssos
tapui-retama	tapui§-re-t#a-ma
ataviara-se	a-ta-vi-#a-ra§-se
missionário	mi-ssi-o-n#á-rio
multívias	mul-t#í-vias
retratavam	re-tra-t#a-vam
apóstolos	a-p#ós-to-los
alcançavam	al-can-ç#a-vam
decampavam	de-cam-p#a-vam
Assombrava-as	a-ssom-br#a-va§-as
modelara	mo-de-l#a-ra
batalhas	ba-t#a-lhas
Deixavam-na	d#ei-xa-vam§-na
determinasse	de-ter-mi-n#a-sse
revelada	re-ve-l#a-da
predominarem	pre-do-mi-n#a-rem
denominações	de-no-mi-na-ç#ões
termos	t#er-mos
absorções	ab-sor-ç#ões
exercitaram	e-xer-ci-t#a-ram
resumamos	re-su-m#a-mos
exemplificação	e-xem-pli-fi-ca-ç#ão
linguagem	lin-gu#a-gem
vicissitude	vi-ci-ssi-t#u-de
Tombador	tom-ba-d#or
pátrio	p#á-trio
ingratos	in-gr#a-tos
outrora	#ou-tro-ra
refugiaram	re-fu-gi-#a-ram
perseguidos	per-se-gu#i-dos
destroços	des-tr#o-ços
Orizes	o-r#i-zes
Procás	pro-c#ás
designando	de-sig-n#an-do
procedência	pro-ce-d#ên-cia
logrou	lo-gr#ou
suplantar	su-plan-t#ar
Canché	can-ch#é
Chorrochó	cho-rro-ch#ó
Quincuncá	quin-cun-c#á
Conchó	con-ch#ó
Centocé	cen-to-c#é
Xique-Xique	Xique§-x#i-que
Jequié	je-qui-#é
Caculé	ca-cu-l#é
Lêem-se	l#ê-em-§se
freqüência	fre-qu#ên-cia
Tragagó	tra-ga-g#ó
Catolé	ca-to-l#é
Orobó	o-ro-b#ó
Mocugé	mo-cu-g#é
populações	po-pu-la-ç#ões
formassem	for-m#a-ssem
ficassem	fi-c#a-ssem
ablegadas	a-ble-g#a-das
guardando	guar-d#an-do
povoam	po-v#o-am
feições	fei-ç#ões
estaturas	es-ta-t#u-ras
variando	va-ri-#an-do
distinto	dis-t#in-to
proteiforme	pro-t#ei-for-me
brevemente	bre-ve-m#en-te
bronzeado	bron-ze-#a-do
trigueiro	tri-gu#ei-ro
cabelo	ca-b#e-lo
corredio	co-rre-d#i-o
levemente	le-ve-m#en-te
ondeado	on-de-#a-do
atlética	a-tl#é-ti-ca
traduzindo-se	tra-du-z#in-do§-se
superstições	su-pers-ti-ç#ões
virtudes	vir-t#u-des
Abramos	a-br#a-mos
prejudicial	pre-ju-di-ci-#al
evolucionismo	e-vo-lu-ci-o-n#is-mo
reaja	re-#a-ja
vivíssimos	vi-v#í-ssi-mos
retrocesso	re-tro-c#e-sso
indo-europeu	indo§-eu-ro-p#eu
brasílio-guarani	bra-s#í-lio-§gua-ra-n#i
estádios	es-t#á-dios
evolutivos	e-vo-lu-t#i-vos
fronteiam	fron-te-#i-am
obliterar	o-bli-te-r#ar
preeminentes	pre-e-mi-n#en-tes
primitivos	pri-mi-t#i-vos
individual	in-di-vi-du-#al
comprimem	com-pr#i-mem
desequilibrado	de-se-qui-li-br#a-do
Foville	fo-v#il-le
compara-os	com-p#a-ra§-os
histéricos	his-t#é-ri-cos
nervoso	ner-v#o-so
incurável	in-cu-r#á-vel
terapêutica	te-ra-p#êu-ti-ca
antagonistas	an-ta-go-n#is-tas
aproximadas	a-pro-xi-m#a-das
fundidas	fun-d#i-das
isolado	i-so-l#a-do
compreende	com-pre-#en-de
divergirem	di-ver-g#i-rem
extremadamente	ex-tre-ma-da-m#en-te
possam	p#o-ssam
convergir	con-ver-g#ir
combinando	com-bi-n#an-do
constituições	cons-ti-tui-ç#ões
mentais	men-t#ais
resultantes	re-sul-t#an-tes
seletivo	se-le-t#i-vo
somas	s#o-mas
algébricas	al-g#é-bri-cas
acrescentam	a-cres-c#en-tam
subtraem-se	sub-tr#a-em§-se
destróem-se	des-tr#ó-em-§se
negativos	ne-ga-t#i-vos
Contrastando	con-tras-t#an-do
possua	po-ss#u-a
revela	re-v#e-la
hibridez	hi-bri-d#ez
irrequietos	i-rre-qui-#e-tos
inconstantes	in-cons-t#an-tes
deslumbrando	des-lum-br#an-do
feridos	fe-r#i-dos
chumbados	chum-b#a-dos
Impotente	im-po-t#en-te
solidariedade	so-li-da-ri-e-d#a-de
reflete-lhes	reflete§-lhes
avulta	a-v#ul-ta
generalizações	ge-ne-ra-li-za-ç#ões
associar	a-sso-ci-#ar
abstratas	abs-tr#a-tas
salvante	sal-v#an-te
moralidade	mo-ra-li-d#a-de
automatismo	#au-to-ma-tis-mo
impulsivo	im-pul-s#i-vo
capitaliza	ca-pi-ta-l#i-za
hereditariedade	he-re-di-ta-ri-e-d#a-de
conserva	con-s#er-va
intruso	in-tr#u-so
lutou	lu-t#ou
integração	in-te-gra-ç#ão
dispersivo	dis-per-s#i-vo
dissolvente	di-ssol-v#en-te
surge	s#ur-ge
opostos	o-p#os-tos
discordes	dis-c#or-des
regressão	re-gre-ss#ão
matrizes	ma-tr#i-zes
caracteriza	ca-rac-te-r#i-za
instintiva	ins-tin-t#i-va
extinguir	ex-tin-gu#ir
afogando-o	a-fo-g#an-do§-o
geradoras	ge-ra-d#o-ras
despreza	des-pr#e-za
ansiosíssima	an-si-o-s#í-ssi-ma
apaguem	a-p#a-guem
prole	pr#o-le
estigma	es-t#ig-ma
escurecida	es-cu-re-c#i-da
faz-se	f#az§-se
ferozmente	fe-roz-m#en-te
aterradas	a-te-rr#a-das
Reata	re-#a-ta
partira	par-t#i-ra
procurando-a	pro-cu-r#an-do§-a
obedecem	o-be-d#e-cem
instinto	ins-t#in-to
sutileza	su-ti-l#e-za
impotente	im-po-t#en-te
afeiçoar	a-fei-ço-#ar
concepções	con-cep-ç#ões
consigam	con-s#i-gam
entregue	en-tr#e-gue
mestres	m#es-tres
aproximar-se	a-pro-xi-m#ar§-se
sequer	se-qu#er
pertence	per-t#en-ce
compreender-se	com-pre-en-d#er§-se
normalidade	nor-ma-li-d#a-de
enfeixando	en-f#ei-xan-do
mostra	m#os-tra
atenuado	a-te-nu-#a-do
fixidez	fi-xi-d#ez
fisiológicos	fi-si-o-l#ó-gi-cos
